Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
ADBL,Agriculture Development Bank Limited,"134,516,741",100.00,"13,187,915,800.00"
CZBIL,Citizen Bank International Limited,"142,009,741",100.00,"14,200,974,100.00"
EBL,Everest Bank Limited,"106,980,945",100.00,"10,698,094,500.00"
GBIME,Global IME Bank Limited,"357,710,597",100.00,"35,771,059,700.00"
HBL,Himalayan Bank Limited,"216,566,158",100.00,"14,006,223,872.00"
KBL,Kumari Bank Limited,"262,258,613",100.00,"26,225,861,300.00"
MBL,Machhapuchchhre Bank Limited,"102,571,556",100.00,"10,257,155,600.00"
NABIL,Nabil Bank Limited,"270,569,984",100.00,"27,056,996,352.00"
NBL,Nepal Bank Limited,"146,940,224",100.00,"4,000,000,000.00"
NICA,NIC Asia Bank Ltd.,"115,640,056",100.00,"11,564,005,600.00"
NMB,NMB Bank Limited,"183,667,060",100.00,"18,366,706,000.00"
PCBL,Prime Commercial Bank Ltd.,"194,025,760",100.00,"19,402,575,872.00"
SANIMA,Sanima Bank Limited,"124,601,152",100.00,"12,460,114,944.00"
SBI,Nepal SBI Bank Limited,"101,206,288",100.00,"10,120,629,248.00"
SBL,Siddhartha Bank Limited,"140,899,808",100.00,"14,089,979,904.00"
SCB,Standard Chartered Bank Limited,"94,294,539",100.00,"9,429,453,900.00"
PRVU,Prabhu Bank Limited,"135,347,696",100.00,"13,534,770,176.00"
NIMB,Nepal Investment Mega Bank Limited,"341,285,949",100.00,"34,128,594,900.00"
LSL,Laxmi Sunrise Bank Limited,"216,702,379",100.00,"21,670,237,900.00"
