Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
EBLB2079,Everest Bank Limited--2079,"468,850",100.00,"46,885,000.00"
GBIMEB2076,Global IME Bank -2076,"400,000",100.00,"40,000,000.00"
SBIB2079,Nepal SBI Bank - 2079,"400,000",100.00,"40,000,000.00"
SBLB2076,Siddhartha Bank Ltd. Bond -2076,"303,520",100.00,"30,352,000.00"
SAND2085,10% Sanima Bank Limited Debenture,"2,000,000","1,000.00","2,000,000,000.00"
NICAD85/86,NIC Asia Debenture 2085/86,"2,404,688","1,000.00","2,404,688,000.00"
NICAD8283,11% NIC Asia Debenture 082/83,0,0.00,0.00
SBLD2082,10.50% SBL Debenture 2082,0,0.00,0.00
NMBD2085,10% NMB DEBENTURE 2085,0,0.00,0.00
SRD80,10% Sunrise Debenture 2080,"1,000,000","1,000.00","1,000,000,000.00"
NICD83/84,10.25% NIC Asia Debenture 2083/84,0,0.00,0.00
PBLD86,10.25% Prabhu Bank Debenture 2086,0,0.00,0.00
SBLD83,10.25% SBL Debenture 2083,"2,401,482","1,000.00","2,401,482,000.00"
SRBLD83,10.25% Sunrise Bank Debenture 2083,0,0.00,0.00
BOKD2079,8% BOK Debenture 2079,0,0.00,0.00
NIBD2082,10.5% Nepal Investment Debenture 2082,0,0.00,0.00
KBLD86,10.25% Kumari Bank Debenture 2086,"3,000,000","1,000.00","3,000,000,000.00"
SBIBD86,10% Nepal SBI Bank Debenture 2086,0,0.00,0.00
GBD80/81,10.25% Global IME Bank Limited Debenture 2080/81,"103,105,160","1,000.00","103,105,160,000.00"
PBLD84,10% Prabhu Bank Debenture 2084,0,0.00,0.00
BOKD2086,8.5% Bank of Kathmadu Limited 2086,0,0.00,0.00
HBLD83,10% Himalayan Bank Debenture 2083,0,0.00,0.00
BOKD86,8.5% BOK Debenture 2086,"1,600,000","1,000.00","1,600,000,000.00"
NIBD2084,8.5% Nepal Investment Bank Bond,0,0.00,0.00
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,0,0.00,0.00
ICFCD83,12% ICFC Finance Limited Debenture 2083,"200,000","1,000.00","200,000,000.00"
GWFD83,12% Goodwill finance Debenture 2083,0,0.00,0.00
PBD85,8.75% Prime Commercial Bank Debenture 2085,"2,447,963","1,000.00","2,447,963,000.00"
GBILD86/87,8.5% Global IME Bank Limited Debenture 2086/87,"3,000,000","1,000.00","3,000,000,000.00"
NBBD2085,10.25% NBB Debenture 2085,0,0.00,0.00
MFLD85,9.5% Manjushree Finance Limited Debenture 2085,"500,000","1,000.00","500,000,000.00"
NBR2087,8.5% Nepal Bank Rinpatra 2087,"3,500,000","1,000.00","3,500,000,000.00"
MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,0,0.00,0.00
LBLD86,10% Laxmi Bank Debenture 2086,0,0.00,0.00
ADBLD83,10.35% Agricultural Bank Debenture 2083,0,0.00,0.00
NMBD87/88,8.50% NMB Rinpatra 2087/88,"2,000,000","1,000.00","2,000,000,000.00"
PBLD87,8.5% Prabhu Bank Debenture 2087,"2,650,000","1,000.00","2,650,000,000.00"
NBLD82,10% Nabil Debenture 2082,0,0.00,0.00
RBBD83,8.5% RBBL Debenture 2083,0,0.00,0.00
SBD87,8.5% Sanima Debenture 2087,0,0.00,0.00
SBLD84,8.5% SBL Debenture 2084,0,0.00,0.00
SDBD87,9% Shangri-la Development Bank Debenture 2087,"750,000","1,000.00","750,000,000.00"
NICD88,8.5% NIC Asia Rinpatra 2088,"1,573,872","1,000.00","1,573,872,000.00"
JBBD87,Jyoti Bikash Bank Bond 2087,"1,500,000","1,000.00","1,500,000,000.00"
LBLD88,8.5% Laxmi Bank Debenture 2088,"2,000,000","1,000.00","2,000,000,000.00"
MBLD87,8.50% Machhapuchchhre Debenture 2087,"3,000,000","1,000.00","3,000,000,000.00"
MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85,"1,250,000","1,000.00","1,250,000,000.00"
NBLD85,8% Nabil Debenture 2085,"3,000,000","1,000.00","3,000,000,000.00"
NCCD86,9.5% NCC Debenture 2086,0,0.00,0.00
GBBD85,"Garima Debenture, 2085","1,000,000","1,000.00","1,000,000,000.00"
NIBD84,8.5% Nepal Investment Bank Debenture 2084,"4,000,000","1,000.00","4,000,000,000.00"
CBLD88,Civil Bank Debenture 2088,"3,000,000","1,000.00","3,000,000,000.00"
EBLD86,8.5% of Everest Bank Limited Debenture 2086,"2,000,000","1,000.00","2,000,000,000.00"
PBD88,10% Prime Debenture 2088,"1,741,884","1,000.00","1,741,884,000.00"
NBLD87,8.5% Nepal Bank Debenture 2087,"3,500,000","1,000.00","3,500,000,000.00"
