Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
CORBL,Corporate Development Bank Limited,"5,250,000",100.00,"525,000,000.00"
EDBL,Excel Development Bank Ltd.,"12,496,945",100.00,"1,249,694,464.00"
GBBL,Garima Bikas Bank Limited,"51,752,784",100.00,"5,175,278,592.00"
JBBL,Jyoti Bikas Bank Limited,"43,957,860",100.00,"4,395,786,000.00"
MDB,Miteri Development Bank Limited,"10,150,015",100.00,"1,015,001,472.00"
MNBBL,Muktinath Bikas Bank Ltd.,"64,209,004",100.00,"6,420,900,352.00"
NABBC,Narayani Development Bank Limited,"2,624,676",100.00,"262,467,600.00"
SADBL,Shangrila Development Bank Ltd.,"30,106,697",100.00,"3,010,669,700.00"
SHINE,Shine Resunga Development Bank Ltd.,"42,838,832",100.00,"4,283,883,264.00"
SINDU,Sindhu Bikash Bank Ltd,"5,574,561",100.00,"557,456,100.00"
GRDBL,Green Development Bank Ltd.,"5,190,000",100.00,"519,000,000.00"
MLBL,Mahalaxmi Bikas Bank Ltd.,"41,713,184",100.00,"4,171,318,528.00"
LBBL,Lumbini Bikas Bank Ltd.,"33,828,216",100.00,"3,382,821,376.00"
KSBBL,Kamana Sewa Bikas Bank Limited,"31,425,771",100.00,"3,142,577,100.00"
SAPDBL,Saptakoshi Development Bank Ltd,"8,343,385",100.00,"834,338,500.00"
