Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
CFCL,Central Finance Co. Ltd.,"9,488,756",100.00,"948,875,584.00"
GFCL,Goodwill Finance Co. Ltd.,"9,461,152",100.00,"946,115,200.00"
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,"10,121,760",100.00,"1,012,176,000.00"
ICFC,ICFC Finance Limited,"11,834,710",100.00,"1,183,470,976.00"
JFL,Janaki Finance Ltd.,"6,904,728",100.00,"690,472,832.00"
MFIL,Manjushree Finance Ltd.,"13,515,529",100.00,"1,351,552,896.00"
MPFL,Multipurpose Finance Company Limited,"4,520,000",100.00,"452,000,000.00"
NFS,Nepal Finance Ltd.,"8,389,439",100.00,"838,943,872.00"
PFL,Pokhara Finance Ltd.,"10,825,567",100.00,"1,082,556,672.00"
PROFL,Progressive Finance Limited,"8,561,070",100.00,"856,107,008.00"
SIFC,Shree Investment Finance Co. Ltd.,"9,816,832",100.00,"981,683,200.00"
RLFL,Reliance Finance Ltd.,"10,530,064",100.00,"1,053,006,400.00"
GUFL,Gurkhas Finance Ltd.,"8,679,937",100.00,"867,993,700.00"
BFC,Best Finance Company Ltd.,"8,289,138",100.00,"828,913,800.00"
SFCL,Samriddhi Finance Company Limited,"8,189,114",100.00,"818,911,400.00"
