Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
NRBBR2067ga,Bikash Rinpatra 2067 Ga,"7,500,000",100.00,"750,000,000.00"
NRBBR2067ka,Bikash Rinpatra 2067 Ka,"10,000,000",100.00,"1,000,000,000.00"
NRBBR2067kha,Bikash Rinpatra 2067 Kha,"7,500,000",100.00,"750,000,000.00"
NRBBR2069,Bikash Rinpatra 2069,"15,000,000",100.00,"1,500,000,000.00"
NRBBR2071ka,Bikash Rinpatra 2071 Ka,"20,000,000",100.00,"2,000,000,000.00"
NRBBR2071Kha,Bikash Rinpatra 2071 Kha,"30,000,000",100.00,"3,000,000,000.00"
NRBBR2072,Bikash Rinpatra 2072,"7,500,000",100.00,"750,000,000.00"
NRBBR2072ka,Bikash Rinpatra 2072 Ka,"15,000,000",100.00,"1,500,000,000.00"
NRBBR2073 KA,Bikash Rinpatra 2073 Ka,"27,500,000",100.00,"2,750,000,000.00"
NRBBR2075,Bikash Rinpatra 2075,"12,000,000",100.00,"1,200,000,000.00"
NRBBR2075ka,Bikash Rinpatra 2075 Ka,"21,000,000",100.00,"2,100,000,000.00"
NRBBR2076,Bikash Rinpatra 2076,"22,000,000",100.00,"2,200,000,000.00"
NRBBR2076Ga,Bikash Rinpatra 2076 Ga,"4,600,000",100.00,"460,000,000.00"
NRBBR2076ka,Bikash Rinpatra 2076 Ka,"9,000,000",100.00,"900,000,000.00"
NRBBR2076Kha,Bikash Rinpatra 2076 Kha,"10,400,000",100.00,"1,040,000,000.00"
9%CSB2082,Nepal Rastra Bank Nagarik Bachatpatra 2082 Ka,0,0.00,0.00
NRBBR2085Gha,Bikash Rinpatra 2085 Gha,0,0.00,0.00
9%CSB2083,Nepal Rastra Bank Nagarik Bachatpatra 2083 (5 Years),0,0.00,0.00
NRBBR2083Gha,Nepal Rastra Bank Bikash Rinpatra 2083 Gha,0,0.00,0.00
