Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
AHPC,Arun Valley Hydropower Development Co. Ltd.,"18,679,626",100.00,"1,867,962,600.00"
BPCL,Butwal Power Company Limited,"34,086,432",100.00,"3,408,643,072.00"
CHCL,Chilime Hydropower Company Limited,"72,581,792",100.00,"7,258,179,584.00"
NHPC,National Hydro Power Company Limited,"16,417,919",100.00,"1,641,791,872.00"
SHPC,Sanima Mai Hydropower Ltd.,"30,892,510",100.00,"3,089,251,000.00"
HURJA,Himalaya Urja Bikas Company Limited,"9,900,000",100.00,"990,000,000.00"
AKPL,Arun Kabeli Power Ltd.,"20,407,316",100.00,"2,040,731,600.00"
BARUN,Barun Hydropower Co. Ltd.,"5,358,150",100.00,"535,815,000.00"
API,Api Power Company Ltd.,"41,332,842",100.00,"4,133,284,200.00"
NGPL,Ngadi Group Power Ltd.,"18,512,792",100.00,"1,851,279,200.00"
MHL,Mandakini Hydropower Limited,"5,880,369",100.00,"588,036,900.00"
NYADI,Nyadi Hydropower Limited,"15,000,000",100.00,"1,500,000,000.00"
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,"32,850,000",100.00,"3,285,000,000.00"
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,"61,578,900",100.00,"6,157,890,000.00"
UMHL,United Modi Hydropower Ltd.,"11,500,000",100.00,"1,150,000,000.00"
DORDI,Dordi Khola Jal Bidyut Company Limited,"10,542,604",100.00,"1,054,260,400.00"
PHCL,Peoples Hydropower Company Limited,"32,000,000",100.00,"3,200,000,000.00"
PPL,People's Power Limited,"6,326,000",100.00,"632,600,000.00"
UPCL,UNIVERSAL POWER COMPANY LTD,"21,003,500",100.00,"2,100,350,000.00"
SPL,Shuvam Power Company Limited,"2,000,000",100.00,"200,000,000.00"
SPDL,Synergy Power Development Ltd.,"8,065,750",100.00,"806,574,976.00"
MKJC,Mailung Khola Jal Vidhyut Company  Limited,"3,681,430",100.00,"368,143,000.00"
SAHAS,Sahas Urja Limited,"35,000,000",100.00,"3,500,000,000.00"
KKHC,Khanikhola Hydropower Co. Ltd.,"4,657,143",100.00,"465,714,300.00"
HPPL,Himalayan Power Partner Ltd.,"10,654,170",100.00,"1,065,417,000.00"
DHPL,Dibyashwori Hydropower Ltd.,"2,640,000",100.00,"264,000,000.00"
BHPL,Barahi Hydropower Public Limited,"2,500,000",100.00,"250,000,000.00"
MHNL,Mountain Hydro Nepal Limited,"12,500,000",100.00,"1,250,000,000.00"
CHL,Chhyangdi Hydropower Ltd.,"3,869,775",100.00,"386,977,500.00"
USHL,Upper Syange  Hydropower Limited,"2,200,000",100.00,"220,000,000.00"
SPHL,Sayapatri Hydropower Limited,"900,000",0.00,"300,000,000.00"
NHDL,Nepal Hydro Developers Ltd.,"3,359,265",100.00,"335,926,496.00"
RADHI,Radhi Bidyut Company Ltd,"16,759,799",100.00,"1,675,979,900.00"
BNHC,Buddhabhumi Nepal Hydropower Company Limited,"4,000,000",100.00,"400,000,000.00"
RHGCL,Rapti Hydro and General Construction Limited,"6,127,938",100.00,"612,793,792.00"
KPCL,Kalika power Company Ltd,"7,935,000",100.00,"793,500,000.00"
TAMOR,Sanima Middle Tamor Hydropower Limited,"33,325,000",100.00,"3,332,500,000.00"
GHL,Ghalemdi Hydro Limited,"5,500,000",100.00,"550,000,000.00"
EHPL,Eastern Hydropower Limited,"6,200,000",100.00,"620,000,000.00"
MKHC,Maya Khola Hydropower Company Limited,"10,000,000",100.00,"1,000,000,000.00"
