Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
ALICL,Asian Life Insurance Co. Limited,"29,081,112",100.00,"2,908,111,104.00"
LICN,Life Insurance Co. Nepal,"26,532,000",100.00,"2,653,200,000.00"
NLIC,Nepal Life Insurance Co. Ltd.,"82,079,666",100.00,"8,207,966,600.00"
NLICL,National Life Insurance Co. Ltd.,"46,404,320",100.00,"4,640,432,128.00"
CLI,Citizen Life Insurance Company Limited,0,100.00,0.00
RNLI,Reliable Nepal Life Insurance Limited,0,100.00,0.00
ILI,IME Life Insurance Company Limited,0,100.00,0.00
SNLI,Sun Nepal Life Insurance Company Limited,0,100.00,0.00
SJLIC,SuryaJyoti Life Insurance Company Limited,"45,455,721",100.00,"4,545,572,100.00"
SRLI,Sanima Reliance Life Insurance Limited,"41,840,000",100.00,"4,184,000,000.00"
HLI,Himalayan Life Insurance Limited,"80,203,836",100.00,"8,020,383,602.00"
PMLI,Prabhu Mahalaxmi Life Insurance Limited,"42,960,000",100.00,"4,296,000,000.00"
GMLI,Guardian Micro-Life Insurance Limited,"7,500,000",100.00,"750,000,000.00"
CREST,Crest Micro Life Insurance Ltd.,"7,500,000",100.00,"75,000,000.00"
