Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
BNL,Bottlers Nepal (Balaju) Limited,"1,948,887",100.00,"194,888,700.00"
BNT,Bottlers Nepal (Terai) Limited,"1,210,000",100.00,"121,000,000.00"
HDL,Himalayan Distillery Limited,"24,295,666",100.00,"2,429,566,720.00"
NLO,Nepal Lube Oil Limited,"485,749",100.00,"48,574,900.00"
UNL,Unilever Nepal Limited,"920,700",100.00,"92,070,000.00"
SHIVM,SHIVAM CEMENTS LTD,"44,000,000",100.00,"4,400,000,000.00"
SARBTM,Sarbottam Cement Limited,0,100.00,"16,781,850,000.00"
SONA,Sonapur Minerals and Oil Limited,0,100.00,0.00
OMPL,Om Megashree Pharmaceuticals Limited,"6,000,000",100.00,"600,000,000.00"
GCIL,Ghorahi Cement Industry Limited,0,100.00,0.00
