Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,"23,241,000",100.00,"2,324,100,000.00"
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,"13,874,985",100.00,"1,387,498,500.00"
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,"11,477,460",100.00,"1,147,746,048.00"
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,"3,128,755",100.00,"312,875,500.00"
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,"26,120,798",100.00,"26,120,798.00"
SKBBL,Sana Kisan Bikas Laghubitta Bittiya sanstha Limited.,"15,644,138",100.00,"1,564,413,824.00"
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,"5,140,992",100.00,"514,099,200.00"
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,"12,904,955",100.00,"1,290,495,500.00"
MLBBL,Mithila Laghubitta Bittiya Sanstha Ltd.,"1,960,029",100.00,"196,002,900.00"
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,"3,840,540",100.00,"384,053,984.00"
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,"1,479,060",100.00,"147,906,000.00"
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,"3,200,000",100.00,"320,000,000.00"
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,"8,695,683",100.00,"869,568,320.00"
NMBMF,NMB Laghubitta Bittiya Sanstha Ltd.,"6,558,630",100.00,"655,862,848.00"
MERO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,"13,200,000",100.00,"1,320,000,000.00"
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,0,0.00,0.00
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,"3,339,140",100.00,"333,913,984.00"
NMFBS,National Laghubitta Bittiya Sanstha Limited,"10,842,063",100.00,"1,084,206,300.00"
GMFBS,Ganapati Microfinance Bittiya Sanstha Ltd,"1,515,546",100.00,"151,554,592.00"
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,"3,198,182",100.00,"319,818,200.00"
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,"4,974,160",100.00,"497,416,000.00"
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Ltd.,"10,555,639",100.00,"10,555,639.00"
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,"3,427,442",100.00,"342,744,224.00"
MSLB,Mahuli Laghubitta Bittiya Sanstha Ltd.,"2,821,694",100.00,"282,169,408.00"
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,"6,189,001",100.00,"618,900,100.00"
SMB,Support Microfinance Bittiya Sanstha Ltd.,"858,000",100.00,"85,800,000.00"
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,"9,825,000",100.00,"982,500,000.00"
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,"2,550,000",100.00,"255,000,000.00"
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,"2,175,625",100.00,"217,562,500.00"
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,"1,014,000",100.00,"101,400,000.00"
NICLBSL,NIC Asia Laghubitta Biitiya Sanstha Limited,"17,394,400",100.00,"1,739,440,000.00"
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,"1,320,000",100.00,"132,000,000.00"
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,"1,106,325",100.00,"110,632,500.00"
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,"10,342,800",100.00,"1,034,280,000.00"
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,"1,093,750",100.00,"109,375,000.00"
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,"1,061,484",100.00,"106,148,400.00"
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd,"1,217,822",100.00,"121,782,152.00"
WNLB,WEAN Nepal Laghubitta Bittiya Sanstha Limited,"792,055",100.00,"79,205,504.00"
SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,"228,500",100.00,0.00
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,"1,331,000",100.00,"133,100,000.00"
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,"623,380",100.00,"62,338,000.00"
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,"1,093,750",100.00,"109,375,000.00"
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,"2,500,000",100.00,"250,000,000.00"
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,"3,671,435",100.00,"367,143,488.00"
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,"2,290,207",100.00,"229,020,704.00"
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,"1,581,343",100.00,"158,134,304.00"
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,"7,919,848",100.00,"791,984,800.00"
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,"13,977,643",100.00,"1,397,764,300.00"
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,0,100.00,"628,357,337.00"
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,0,100.00,"700,858,345.00"
