Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
SEF,Siddhartha Equity Fund,"150,000,000",10.00,"1,500,000,000.00"
SAEF,Sanima Equity Fund,"130,000,000",10.00,"1,300,000,000.00"
NBF2,NABIL BALANCED FUND-2,"112,000,000",10.00,"1,120,000,000.00"
CMF2,CITIZENS MUTUAL FUND 2,"56,000,000",10.00,"560,000,000.00"
NIBLSF,NIBL Sahabhagita Fund,"36,516,605",10.00,"365,166,050.00"
NMB50,NMB 50,"125,000,000",10.00,"1,250,000,000.00"
SIGS2,Siddhartha Investment Growth Scheme - 2,"120,000,000",10.00,"1,200,000,000.00"
NICBF,NIC Asia Balanced Fund,"75,500,000",10.00,"755,000,000.00"
SFMF,Sunrise First Mutual Fund,"86,000,000",10.00,"860,000,000.00"
LUK,Laxmi unnati Kosh,"65,262,360",10.00,"652,623,600.00"
NADDF,Nic Asia Dynamic Debt Fund,"49,898,450",10.00,"498,984,500.00"
SLCF,Sanima Large Cap Fund,"120,000,000",10.00,"1,200,000,000.00"
KEF,Kumari Equity Fund,"100,000,000",10.00,"1,000,000,000.00"
SBCF,Sunrise Bluechip Fund,"125,000,000",10.00,"1,250,000,000.00"
NIBSF2,NIBL Samriddhi Fund 2,"150,000,000",10.00,"1,500,000,000.00"
PSF,Prabhu Select Fund,"125,000,000",10.00,"1,250,000,000.00"
NICSF,NIC Asia Select - 30 (Index Fund),"125,000,000",10.00,"1,250,000,000.00"
SSIS,Siddhartha Systematic Investment Scheme,"20,000,000",10.00,"200,000,000.00"
RMF1,RBB Mutual Fund 1,"125,000,000",10.00,"1,250,000,000.00"
MMF1,Mega Mutual Fund-1,"125,000,000",10.00,"1,250,000,000.00"
NMBSBFE,NMB Saral Bachat Fund-E,"55,000,000",10.00,"550,000,000.00"
NBF3,Nabil Balanced Fund-3,"125,000,000",10.00,"1,250,000,000.00"
KDBY,Kumari Dhanabriddhi Yojana,"122,507,259",10.00,"1,225,072,590.00"
NICFC,NIC ASIA Flexi CAP Fund,"102,000,000",10.00,"1,020,000,000.00"
GIBF1,Global IME Balanced Fund-1,"102,576,360",10.00,"1,025,763,600.00"
SLK,Shubha Laxmi Kosh,"50,000,000",10.00,"500,000,000.00"
NSIF2,NMB Sulav Investment Fund - 2,"122,100,000",10.00,"1,221,000,000.00"
SAGF,Sanima Growth Fund,"67,253,260",10.00,"672,532,600.00"
NFCF,Nabil Flexi Cap Fund,"75,000,000",10.00,"750,000,000.00"
NIBLGF,NIBL Growth Fund,"132,000,000",10.00,"1,320,000,000.00"
SFEF,Sunrise Focused Equity Fund,"100,000,000",10.00,"1,000,000,000.00"
PRSF,Prabhu Smart Fund,"100,000,000",10.00,"1,000,000,000.00"
KSLY,Kumari Sunaulo Lagani Yojana,"35,000,000",10.00,"350,000,000.00"
SIGS3,Siddhartha Investment Growth Scheme 3,"80,580,000",10.00,"805,800,000.00"
C30MF,Citizens Super 30 Mutual Fund,"75,072,390",10.00,"750,723,900.00"
RMF2,RBB Mutual Fund 2,"84,611,929",10.00,"846,119,290.00"
LVF2,Laxmi Value Fund 2,"80,000,000",10.00,"800,000,000.00"
H8020,Himalayan 80-20,"100,000,000",10.00,"1,000,000,000.00"
NICGF2,NIC Asia Growth Fund-2,"85,000,000",10.00,"850,000,000.00"
NIBLSTF,NIBL Stable Fund,"113,000,000",10.00,"1,130,000,000.00"
KSY,Kumari Sabal Yojana,"74,475,070",10.00,"744,750,700.00"
MNMF1,Muktinath Mutual Fund 1,"125,000,000",10.00,"1,250,000,000.00"
GSY,Garima Samriddhi Yojana,"125,000,000",10.00,"1,250,000,000.00"
NMBHF2,NMB Hybrid Fund L-II,"102,000,000",10.00,"1,020,000,000.00"
SFF,Sanima Flexi Fund,"25,000,000",10.00,"250,000,000.00"
MBLEF,MBL Equity Fund,"102,000,000",10.00,"1,020,000,000.00"
RSY,Reliable Samriddhi Yojana,"120,000,000",10.00,"1,200,000,000.00"
