Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
NICL,Nepal Insurance Co. Ltd.,"14,947,655",100.00,"1,494,765,500.00"
NIL,Neco Insurance Co. Ltd.,"20,123,606",100.00,"2,012,360,600.00"
NLG,NLG Insurance Company Ltd.,"13,266,144",100.00,"1,326,614,400.00"
SICL,Shikhar Insurance Co. Ltd.,"26,518,542",100.00,"2,651,854,200.00"
PRIN,Prabhu Insurance Ltd.,"13,761,223",100.00,"1,376,122,300.00"
RBCL,Rastriya Beema Company Limited,"2,666,365",100.00,"266,636,500.00"
IGI,IGI Prudential Insurance Company Limited,"18,037,506",100.00,"1,803,750,600.00"
HEI,Himalayan Everest Insurance Limited,"22,399,367",100.00,"2,239,936,700.00"
SGIC,Sanima GIC Insurance Limited,"20,000,000",100.00,"2,000,000,000.00"
SPIL,Siddhartha Premier Insurance Limited,"28,065,499",100.00,"2,806,549,900.00"
SALICO,Sagarmatha Lumbini Insurance Co. Limited,"26,226,382",100.00,"2,622,638,200.00"
UAIL,United Ajod Insurance Limited,"19,045,680",100.00,"1,904,568,000.00"
NMIC,Nepal Micro Insurance Co. Ltd.,"7,500,000",100.00,"750,000,000.00"
