Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
ALICLP,Asian Life Insurance Co. Ltd Promoter Share,"100,000",100.00,"10,000,000.00"
CZBILP,Citizens Bank Internatioal Limited Promoter Share,"10,000",100.00,"1,000,000.00"
EBLPO,Everest Bank Limited Promoter Share,"100,000",100.00,"10,000,000.00"
GBIMEP,Global IME Bank Limited Promoter Share,"100,000",100.00,"10,000,000.00"
GFCLPO,Goodwill Finance Company Limited Promoter Share,"461,896",100.00,"46,189,600.00"
HBLPO,Himalayan Bank Limited Promoter Share,"100,000",100.00,"10,000,000.00"
ICFCPO,ICFC Finance Limited Promotor Share,"2,223,340",100.00,"222,334,000.00"
JBBLPO,Jyoti Bikash Bank Ltd. Promoter Share,"100,000",100.00,"10,000,000.00"
JFLPO,Janaki Finance Limited Promoter Share,"240,000",100.00,"24,000,000.00"
KBLPO,Kumari Bank Limited Promotor Share,"5,250,000",100.00,"525,000,000.00"
LBLPO,Laxmi Bank Limited Promoter Share,"4,717,008",100.00,"471,700,800.00"
MBLPO,Machhapuchchhre Bank Limited Promotor Share,"5,751,559",100.00,"575,155,900.00"
NABILP,NABIL Bank Limited Promotor Share,"4,811,751",100.00,"481,175,100.00"
NICAP,NIC Asia Bank Limted Promoter Share,"5,148,000",100.00,"514,800,000.00"
NLICLP,National Life Insurance Co. Ltd. Promoter Share,"200,000",100.00,"20,000,000.00"
NMBPO,NMB Bank Limited Promoter Share,"8,579,999",100.00,"857,999,900.00"
PCBLP,Prime Commercial Bank Limited Promoter Share,"400,000",100.00,"40,000,000.00"
PFLPO,Pokhara Finance Company Limited Promoter Share,"1,862,078",100.00,"186,207,800.00"
PROFLP,Progressive Finance Limited Promoter Share,"180,000",100.00,"18,000,000.00"
SNMAPO,Sanima Bank Limited Promoter Share,"5,376,000",100.00,"537,600,000.00"
SBIPO,Nepal SBI Bank Ltd. Promoter Share,"6,114,353",100.00,"611,435,300.00"
SBLPO,Siddhartha Bank Limited Promoter Share,"3,000,000",100.00,"300,000,000.00"
SIFCPO,Shree Investment & Finance Company Limited Promoter Share,"1,000,000",100.00,"100,000,000.00"
SLICLP,Surya Life Insurance Co. Ltd. Promoter Share,"900,000",100.00,"90,000,000.00"
SRBLPO,Sunrise Bank Ltd Promoter Share,"20,000,000",100.00,"2,000,000,000.00"
